agent,CompetitionAgent,RandomAgent,total score,average score,wins,losses,ties,win rate
CompetitionAgent,0.0,159.0,159.0,159.0,1,0,0,1.0
RandomAgent,261.0,0.0,261.0,261.0,1,0,0,1.0
