,CompetitionAgent,SwerveAgent,ContinueAgent,RandomAgent
CompetitionAgent,0.0,-518.0,-1976.0,-1365.0
SwerveAgent,518.0,0.0,1000.0,495.0
ContinueAgent,-2984.0,-1000.0,0.0,-2980.0
RandomAgent,-1355.0,-495.0,-1970.0,0.0
