,CompetitionAgent,SwerveAgent,ContinueAgent,RandomAgent
CompetitionAgent,0.0,-515.0,-2150.0,-1271.0
SwerveAgent,515.0,0.0,1000.0,509.0
ContinueAgent,-3100.0,-1000.0,0.0,-3068.0
RandomAgent,-1299.0,-509.0,-2102.0,0.0
