,CompetitionAgent,SwerveAgent,ContinueAgent,RandomAgent
CompetitionAgent,0.0,-522.0,-1661.0,-934.0
SwerveAgent,522.0,0.0,1999.0,1037.0
ContinueAgent,-4439.0,-1999.0,0.0,-6083.0
RandomAgent,-1846.0,-1037.0,-4127.0,0.0
