,CompetitionAgent,CompetitionAgent1,CompetitionAgent2,CompetitionAgent3
CompetitionAgent,0.0,-5000.0,-5000.0,-5000.0
CompetitionAgent1,-5000.0,0.0,-5000.0,-5000.0
CompetitionAgent2,-5000.0,-5000.0,0.0,-5000.0
CompetitionAgent3,-5000.0,-5000.0,-5000.0,0.0
