agent,CompetitionAgent,SwerveAgent,ContinueAgent,RandomAgent,total score,average score,wins,losses,ties,win rate
CompetitionAgent,0.0,566.0,-4395.0,-1851.0,-5680.0,-1893.3333333333333,1,2,0,0.3333333333333333
SwerveAgent,-566.0,0.0,-1999.0,-942.0,-3507.0,-1169.0,0,3,0,0.0
ContinueAgent,-1595.0,1999.0,0.0,-3809.0,-3405.0,-1135.0,1,2,0,0.3333333333333333
RandomAgent,-1089.0,942.0,-5871.0,0.0,-6018.0,-2006.0,1,2,0,0.3333333333333333
