,CompetitionAgent,SwerveAgent,ContinueAgent,RandomAgent
CompetitionAgent,0.0,-280.0,-668.0,-523.0
SwerveAgent,280.0,0.0,1000.0,507.0
ContinueAgent,-2112.0,-1000.0,0.0,-3008.0
RandomAgent,-887.0,-507.0,-2012.0,0.0
