agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
basic_bidding_agent,3215.0,321.5,1680.0,0.0,6,10,0.6
aggressive_bidding_agent,-537.3717894841358,-53.73717894841358,216.0,-177.6156390871326,1,10,0.1
RandomAgent_0,883.093027113928,88.3093027113928,514.0,-182.80842268278866,7,10,0.7
RandomAgent_1,501.3612253336087,50.13612253336087,484.8288036590233,-99.77723927464507,5,10,0.5
RandomAgent_2,1252.7894495602577,125.27894495602577,1049.0,-222.76520492884396,6,10,0.6
RandomAgent_3,791.5385717806845,79.15385717806845,323.7143388731932,-52.34722418978109,5,10,0.5
RandomAgent_4,1781.0940783424949,178.10940783424948,1103.0,-129.2770148596628,6,10,0.6
RandomAgent_5,14.653257439924062,1.4653257439924061,146.31896843857822,-220.3214137751969,6,10,0.6
RandomAgent_6,-27.58404176267163,-2.758404176267163,220.0,-258.105359987137,5,10,0.5
RandomAgent_7,1529.4015725849083,152.94015725849084,594.0,-98.06808608821683,8,10,0.8
