agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
basic_bidding_agent,2810.0,281.0,1680.0,0.0,2,10,0.2
aggressive_bidding_agent,993.3694591201017,99.33694591201018,918.0,-52.63054087989825,2,10,0.2
RandomAgent_0,486.0,48.6,203.0,0.0,3,10,0.3
RandomAgent_1,3158.0,315.8,1256.0,0.0,5,10,0.5
RandomAgent_2,976.963980457326,97.6963980457326,897.0,0.0,2,10,0.2
RandomAgent_3,3438.756063971817,343.87560639718174,1680.0,-177.243936028183,3,10,0.3
RandomAgent_4,796.0,79.6,538.0,0.0,2,10,0.2
RandomAgent_5,4349.7826591668745,434.97826591668746,1680.0,0.0,4,10,0.4
RandomAgent_6,234.6852962747754,23.46852962747754,242.0,-210.3147037252246,2,10,0.2
RandomAgent_7,2842.0,284.2,1386.0,0.0,4,10,0.4
