agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
basic_bidding_agent,439.1792165666927,43.917921656669265,258.0,0.0,3,10,0.3
aggressive_bidding_agent,-620.0731933562448,-62.00731933562448,67.0,-165.83548400442533,3,10,0.3
RandomAgent_0,850.9101138117087,85.09101138117087,594.0,-363.6838747494558,7,10,0.7
RandomAgent_1,942.0923818989297,94.20923818989297,539.6060403234837,-43.79336409065593,5,10,0.5
RandomAgent_2,-64.00624203883771,-6.400624203883771,260.5606895345667,-257.8781068269618,4,10,0.4
RandomAgent_3,1906.9097636627444,190.69097636627444,821.0,-68.69202428281216,7,10,0.7
RandomAgent_4,628.8161399384235,62.88161399384235,265.0,-121.51821897646562,6,10,0.6
RandomAgent_5,-91.2213109168693,-9.12213109168693,314.480366758875,-259.1999353739468,5,10,0.5
RandomAgent_6,1629.24343202329,162.924343202329,1040.0,-202.17213420232315,6,10,0.6
RandomAgent_7,2588.3267620003994,258.83267620003994,1200.0,-92.94772259816745,7,10,0.7
