agent,total_reward,average_reward,max_reward,min_reward,wins,games_played,win_rate
aggressive_bidding_agent,-631.4736568815345,-63.14736568815344,260.95051853943914,-298.105794628749,1,10,0.1
basic_bidding_agent,2369.684261154452,236.9684261154452,1200.0,0.0,6,10,0.6
RandomAgent_0,502.0080639559564,50.20080639559564,361.0,-87.52926317382651,6,10,0.6
RandomAgent_1,1275.9181957488418,127.59181957488417,722.0,-253.14130071654517,7,10,0.7
RandomAgent_2,1269.554059116234,126.95540591162339,1201.0,-232.3133066191234,6,10,0.6
RandomAgent_3,1600.8474856909777,160.08474856909777,918.0,-264.5723181273718,6,10,0.6
RandomAgent_4,1137.9084984906851,113.79084984906851,990.0,-349.5244613030901,6,10,0.6
RandomAgent_5,843.4299395856933,84.34299395856934,291.12840720085995,-59.59882562216956,6,10,0.6
RandomAgent_6,944.3933306700321,94.43933306700322,1085.0,-174.81230908851,5,10,0.5
RandomAgent_7,375.1307947319208,37.51307947319208,561.0,-188.53371108631677,5,10,0.5
