agent,CompetitionAgent,RandomAgent,total score,average score,wins,losses,ties,win rate
CompetitionAgent,0.0,138.0,138.0,138.0,1,0,0,1.0
RandomAgent,283.0,0.0,283.0,283.0,1,0,0,1.0
