agent,CompetitionAgent,RandomAgent,total score,average score,wins,losses,ties,win rate
CompetitionAgent,0.0,138.0,138.0,138.0,1,0,0,1.0
RandomAgent,300.0,0.0,300.0,300.0,1,0,0,1.0
